Description,Key words,Number of awards,Most frequent search terms (% of awards),,
Adolescent psychiatry,"['adolescent', 'substance', 'youth', 'mobile', 'symptom', 'child', 'alcohol', 'prevention', 'difference', 'consortium', 'developmental', 'career', 'family', 'social', 'skill']",155,'machine learning' (37.4%),'artificial intelligence' (7.1%),'natural language processing' (6.5%)
Adverse drug events/drug safety,"['safety', 'surveillance', 'event', 'adverse', 'medication', 'electronic', 'mortality', 'natural language', 'language processing', 'hospital', 'report', 'monitoring', 'healthcare', 'health care', 'temporal']",265,'natural language processing' (35.5%),'machine learning' (30.9%),'artificial intelligence' (6.0%)
Alcohol use,"['alcohol', 'exposure', 'child', 'spectrum', 'consortium', 'deficit', 'adolescent', 'youth', 'core', 'feedback', 'period', 'month', 'substance', 'prevention', 'site']",218,'machine learning' (29.4%),'expert system' (5.0%),'decision tree' (4.6%)
Alzheimer's disease,"['ad', 'alzheimer', 'alzheimer disease', 'dementia', 'aging', 'progression', 'pathology', 'longitudinal', 'neuroimaging', 'clinical trial', 'stage', 'mri', 'biomarker', 'impairment', 'participant']",321,'machine learning' (48.3%),'deep learning' (10.0%),'artificial intelligence' (4.0%)
Asthma,"['asthma', 'child', 'exposure', 'lung', 'chronic', 'candidate', 'immune', 'gene expression', 'pediatric', 'severe', 'environmental', 'variant', 'healthcare', 'neural network', 'school']",93,'machine learning' (37.6%),'natural language processing' (11.8%),'principal component analysis' (5.4%)
Autism spectrum disorder,"['asd', 'autism', 'child', 'connectivity', 'spectrum', 'social', 'developmental', 'infant', 'impairment', 'deficit', 'heterogeneity', 'core', 'mri', 'communication', 'longitudinal']",192,'machine learning' (23.4%),'support vector machine' (9.4%),'random forest' (6.8%)
Big data,"['big', 'big data', 'datasets', 'scientist', 'bioinformatics', 'genomics', 'data analysis', 'student', 'integration', 'initiative', 'fmri', 'precision', 'neuroscience', 'world', 'biomarker']",135,'machine learning' (60.0%),'natural language processing' (11.9%),'deep learning' (6.7%)
Breast cancer,"['breast', 'breast cancer', 'woman', 'tumor', 'biopsy', 'screening', 'lesion', 'receptor', 'decision support', 'early detection', 'stage', 'sensitivity', 'mass', 'positive', 'biomarker']",297,'machine learning' (27.6%),'artificial intelligence' (10.8%),'artificial neural network' (6.7%)
Cancer prognostication and treatment response prediction,"['tumor', 'progression', 'survival', 'normal', 'targeted', 'immune', 'vivo', 'mri', 'mutation', 'resistance', 'marker', 'heterogeneity', 'parameter', 'data analysis', 'signature']",375,'machine learning' (36.0%),'hierarchical clustering' (4.0%),'deep learning' (3.7%)
Cardiovascular disease,"['heart', 'stress', 'failure', 'cardiovascular', 'cardiac', 'physician', 'parameter', 'death', 'mortality', 'symptom', 'blood', 'candidate', 'clinically', 'hospital', 'ct']",186,'machine learning' (36.6%),'deep learning' (5.9%),'natural language processing' (5.9%)
Cell signaling pathways,"['binding', 'site', 'receptor', 'molecule', 'specificity', 'dna', 'regulatory', 'simulation', 'chemical', 'signaling', 'recognition', 'datasets', 'domain', 'interface', 'improvement']",117,'machine learning' (24.8%),'deep learning' (5.1%),'hidden markov model' (2.6%)
Centers for translational and computational research,"['core', 'informatics', 'infrastructure', 'continue', 'consortium', 'neuroscience', 'service', 'collaborative', 'bioinformatics', 'access', 'domain', 'alcohol', 'capability', 'genetics', 'scientist']",144,'machine learning' (21.5%),'natural language processing' (9.0%),'decision tree' (6.2%)
Clinically significant genetic variation,"['variant', 'variation', 'sequencing', 'trait', 'genetics', 'causal', 'mutation', 'dna', 'genomics', 'regulatory', 'statistical method', 'interpretation', 'gene expression', 'mapping', 'influence']",236,'machine learning' (27.5%),'hidden markov model' (5.5%),'deep learning' (4.2%)
Deep learning,"['lesion', 'deep', 'deep learning', 'mri', 'progression', 'biopsy', 'interpretation', 'digital', 'neural network', 'classification', 'pathology', 'learning algorithm', 'learn', 'longitudinal', 'learning method']",221,'deep learning' (63.8%),'machine learning' (33.5%),'artificial intelligence' (9.0%)
Depression,"['depression', 'symptom', 'circuit', 'personalized', 'mobile', 'fmri', 'sensor', 'negative', 'positive', 'construct', 'mental', 'participant', 'adolescent', 'collected', 'mental health']",104,'machine learning' (48.1%),'artificial intelligence' (8.7%),'expert system' (3.8%)
Diabetes,"['diabetes', 'chronic', 'physical activity', 'clinical trial', 'achieve', 'american', 'decision support', 'consortium', 'prevention', 'body', 'people', 'blood', 'physical', 'aid', 'risk factor']",114,'machine learning' (20.2%),'natural language processing' (8.8%),'artificial intelligence' (4.4%)
Drug discovery,"['compound', 'agent', 'product', 'molecule', 'chemical', 'assay', 'screening', 'active', 'vivo', 'spectrum', 'small', 'infection', 'candidate', 'required', 'increasing']",156,'machine learning' (26.3%),'expert system' (6.4%),'random forest' (5.1%)
EEG,"['eeg', 'recording', 'neuroscience', 'sleep', 'event', 'monitoring', 'reliable', 'resolution', 'fmri', 'cortical', 'spatial', 'period', 'mri', 'collected', 'hospital']",104,'machine learning' (30.8%),'support vector machine' (7.7%),'expert system' (5.8%)
Electronic health record,"['ehr', 'electronic', 'health record', 'electronic health', 'informatics', 'healthcare', 'natural language', 'clinical data', 'clinician', 'decision support', 'provider', 'language processing', 'physician', 'nlp', 'hospital']",296,'natural language processing' (39.5%),'machine learning' (32.4%),'deep learning' (3.7%)
Environmental health,"['exposure', 'environmental', 'chemical', 'risk factor', 'career', 'child', 'period', 'mouse', 'animal', 'prevention', 'dna', 'estimate', 'cardiovascular', 'developmental', 'social']",203,'machine learning' (40.4%),'principal component analysis' (6.9%),'support vector machine' (3.0%)
Familial genetics,"['family', 'genomics', 'implementation', 'child', 'communication', 'susceptibility', 'environmental', 'syndrome', 'history', 'implement', 'prevention', 'domain', 'dna', 'service', 'long']",129,'machine learning' (16.3%),'artificial intelligence' (7.8%),'expert system' (7.0%)
Functional mutations,"['mutation', 'variant', 'regulatory', 'dna', 'cellular', 'consequence', 'binding', 'sequencing', 'gene expression', 'regulation', 'computational method', 'variation', 'candidate', 'genomics', 'aid']",162,'machine learning' (35.2%),'deep learning' (6.2%),'natural language processing' (6.2%)
Gene mapping,"['mapping', 'trait', 'genetics', 'map', 'variant', 'marker', 'variation', 'powerful', 'sequencing', 'score', 'power', 'size', 'statistical method', 'physical', 'involved']",166,'machine learning' (20.5%),'expert system' (6.6%),'hidden markov model' (3.0%)
HIV,"['hiv', 'infection', 'prevention', 'aid', 'resistance', 'woman', 'participant', 'social', 'substance', 'impairment', 'person', 'site', 'dna', 'people', 'efficacy']",243,'machine learning' (28.0%),'artificial intelligence' (12.8%),'expert system' (4.9%)
Immunology,"['immune', 'host', 'infection', 'receptor', 'blood', 'signaling', 'adaptive', 'adverse', 'regulatory', 'signature', 'monitoring', 'assay', 'resistance', 'profile', 'event']",170,'machine learning' (34.7%),'deep learning' (2.9%),'random forest' (2.4%)
Intelligent search engines and data visualization,"['scientist', 'learn', 'building', 'genomics', 'generated', 'bioinformatics', 'size', 'data set', 'engineering', 'career', 'step', 'rapidly', 'aspect', 'heterogeneity', 'inference']",76,'machine learning' (11.8%),'natural language processing' (10.5%),'artificial intelligence' (6.6%)
Interpersonal communication technologies,"['communication', 'interface', 'speech', 'impairment', 'device', 'motor', 'cortex', 'people', 'clinician', 'provider', 'access', 'severe', 'participant', 'increasing', 'clinical trial']",92,'machine learning' (28.3%),'natural language processing' (25.0%),'rule-based system' (5.4%)
Interspecies genetic variation,"['site', 'annotation', 'binding', 'specie', 'regulatory', 'element', 'location', 'capability', 'core', 'regulation', 'dna', 'access', 'basic', 'spectrum', 'global']",130,'machine learning' (29.2%),'singular value decomposition' (6.2%),'support vector machine' (4.6%)
Kidney disease,"['kidney', 'chronic', 'progression', 'injury', 'survival', 'biopsy', 'acute', 'syndrome', 'effectiveness', 'failure', 'mortality', 'cardiovascular', 'heterogeneity', 'national', 'award']",123,'machine learning' (32.5%),'markov decision process' (11.4%),'artificial intelligence' (8.9%)
Knowledge bases,"['base', 'representation', 'artificial intelligence', 'intelligence', 'artificial', 'interface', 'domain', 'aid', 'capability', 'continue', 'collaborative', 'national', 'interpretation', 'access', 'variation']",176,'artificial intelligence' (28.4%),'expert system' (26.7%),'knowledge representation' (12.5%)
Knowledge representation and reasoning,"['representation', 'concept', 'cortex', 'world', 'theory', 'action', 'issue', 'basic', 'temporal', 'memory', 'planning', 'visual', 'fmri', 'neuroscience', 'domain']",122,'machine learning' (14.8%),'knowledge representation' (12.3%),'artificial intelligence' (8.2%)
Language development and reading comprehension,"['child', 'age', 'developmental', 'impairment', 'acquisition', 'autism', 'young', 'pediatric', 'symptom', 'deficit', 'artificial', 'social', 'family', 'skill', 'mobile']",271,'machine learning' (27.7%),'artificial intelligence' (9.6%),'natural language processing' (5.2%)
Literature review,"['review', 'systematic', 'literature', 'annotation', 'text', 'screening', 'alternative', 'automatically', 'validation', 'best', 'wa', 'necessary', 'clinical trial', 'report', 'able']",76,'machine learning' (42.1%),'natural language processing' (15.8%),'text mining' (11.8%)
Liver disease,"['liver', 'injury', 'stage', 'mouse', 'biomarker', 'radiation', 'activation', 'motion', 'tumor', 'alcohol', 'survival', 'chronic', 'early detection', 'signature', 'biopsy']",123,'machine learning' (22.8%),'principal component analysis' (13.0%),'artificial intelligence' (4.9%)
Lung cancer and COPD,"['lung', 'ct', 'screening', 'death', 'survival', 'chronic', 'smoking', 'positive', 'injury', 'snp', 'susceptibility', 'biomarker', 'progression', 'marker', 'test hypothesis']",217,'machine learning' (29.0%),'artificial neural network' (10.1%),'deep learning' (4.1%)
Mass spectroscopy,"['mass', 'spectrum', 'characterization', 'sensitivity', 'chemical', 'classification', 'assay', 'molecule', 'lesion', 'breast', 'compare', 'marker', 'screening', 'capability', 'aid']",145,'machine learning' (37.9%),'decision tree' (6.9%),'expert system' (6.9%)
Memory,"['memory', 'working', 'circuit', 'deficit', 'representation', 'cortex', 'stimulation', 'neuronal', 'fmri', 'animal', 'eeg', 'event', 'alzheimer', 'cortical', 'schizophrenia']",149,'machine learning' (18.1%),'artificial intelligence' (6.0%),'support vector machine' (3.4%)
Metabolic syndrome and metabolic processes,"['metabolic', 'syndrome', 'mass', 'host', 'physical', 'cardiovascular', 'spectrum', 'compound', 'targeted', 'trait', 'signature', 'age', 'resolution', 'physical activity', 'collaboration']",99,'machine learning' (36.4%),'principal component analysis' (8.1%),'random forest' (5.1%)
Molecular genetics,"['dna', 'sequencing', 'gene expression', 'binding', 'specie', 'tumor', 'site', 'profile', 'global', 'progression', 'variation', 'stage', 'base', 'regulatory', 'derived']",246,'machine learning' (27.6%),'supervised learning' (6.5%),'expert system' (6.5%)
Motion tracking and artifact reduction,"['cardiac', 'heart', 'motion', 'event', 'score', 'failure', 'death', 'procedure', 'mri', 'cardiovascular', 'recording', 'flow', 'normal', 'radiation', 'shape']",150,'machine learning' (42.7%),'artificial intelligence' (17.3%),'decision tree' (8.7%)
Motor function,"['motor', 'stimulation', 'movement', 'recording', 'cortical', 'circuit', 'device', 'parameter', 'injury', 'cortex', 'array', 'action', 'sensor', 'deep', 'activation']",192,'machine learning' (29.7%),'artificial intelligence' (16.7%),'principal component analysis' (9.9%)
Mouse modeling,"['mouse', 'gene expression', 'animal', 'shape', 'candidate', 'normal', 'dna', 'profile', 'resolution', 'vivo', 'neuron', 'susceptibility', 'assay', 'motion', 'chronic']",167,'machine learning' (22.8%),'supervised learning' (4.8%),'singular value decomposition' (3.6%)
Natural language processing,"['nlp', 'text', 'natural language', 'language processing', 'electronic', 'extract', 'report', 'domain', 'setting', 'translational', 'informatics', 'health record', 'decision support', 'electronic health', 'automatically']",121,'natural language processing' (96.7%),'machine learning' (15.7%),'artificial intelligence' (5.8%)
Neural circuits,"['neuron', 'circuit', 'neuronal', 'cortex', 'cortical', 'stimulus', 'cell type', 'animal', 'connectivity', 'motor', 'recording', 'property', 'neuroscience', 'mouse', 'cellular']",361,'machine learning' (23.3%),'recurrent neural network' (4.7%),'artificial intelligence' (3.9%)
Object tracking and recognition,"['object', 'visual', 'recognition', 'action', 'theory', 'concept', 'movement', 'representation', 'memory', 'input', 'attention', 'age', 'loss', 'interface', 'cortex']",113,'machine learning' (22.1%),'expert system' (12.4%),'artificial intelligence' (5.3%)
Older adults,"['older', 'older adult', 'aging', 'physical', 'person', 'chronic', 'health care', 'age', 'physical activity', 'social', 'provider', 'depression', 'cardiovascular', 'monitoring', 'clinician']",171,'machine learning' (26.9%),'expert system' (10.5%),'natural language processing' (7.6%)
Ontology generation,"['ontology', 'annotation', 'integration', 'representation', 'infrastructure', 'scientist', 'collaborative', 'national', 'term', 'informatics', 'consortium', 'context', 'data set', 'essential', 'domain']",99,'knowledge representation' (26.3%),'machine learning' (12.1%),'natural language processing' (5.1%)
Other chemical compoud characterization,"['chemical', 'assay', 'environmental', 'molecule', 'capability', 'animal', 'compound', 'substance', 'variety', 'signaling', 'small', 'cellular', 'mass', 'property', 'specie']",159,'machine learning' (17.6%),'principal component analysis' (6.9%),'artificial intelligence' (3.8%)
Other child development,"['infant', 'child', 'developmental', 'speech', 'acquisition', 'growth', 'learn', 'age', 'input', 'month', 'deficit', 'social', 'stress', 'mri', 'exposure']",164,'machine learning' (21.3%),'artificial intelligence' (3.7%),'support vector machine' (3.0%)
Other dementia,"['dementia', 'alzheimer', 'alzheimer disease', 'pathology', 'ad', 'person', 'aging', 'mri', 'older', 'impairment', 'participant', 'risk factor', 'symptom', 'stage', 'people']",148,'machine learning' (33.8%),'natural language processing' (12.2%),'artificial intelligence' (7.4%)
Other infectious disease,"['infection', 'host', 'resistance', 'immune', 'hospital', 'assay', 'blood', 'candidate', 'rapid', 'people', 'death', 'specie', 'global', 'severe', 'healthcare']",242,'machine learning' (39.3%),'support vector machine' (5.0%),'artificial intelligence' (4.1%)
Other mental health,"['mental', 'mental health', 'illness', 'psychiatric', 'depression', 'neuroscience', 'symptom', 'social', 'variation', 'environmental', 'schizophrenia', 'neuroimaging', 'variable', 'influence', 'child']",148,'machine learning' (42.6%),'natural language processing' (11.5%),'deep learning' (3.4%)
Other patient safety,"['error', 'safety', 'digital', 'electronic', 'event', 'simulation', 'estimate', 'reducing', 'monitoring', 'healthcare', 'report', 'setting', 'clinician', 'concept', 'detect']",115,'machine learning' (29.6%),'natural language processing' (18.3%),'artificial intelligence' (8.7%)
Pain,"['pain', 'chronic', 'acute', 'syndrome', 'low', 'woman', 'symptom', 'influence', 'collaboration', 'surgery', 'sensitivity', 'substance', 'hypothesize', 'award', 'physiological']",188,'machine learning' (41.0%),'natural language processing' (8.5%),'deep learning' (3.7%)
Pediatrics,"['pediatric', 'child', 'digital', 'hospital', 'decision support', 'ehr', 'acute', 'mri', 'implementation', 'health care', 'electronic', 'chronic', 'clinical trial', 'national', 'conduct']",63,'machine learning' (33.3%),'natural language processing' (15.9%),'deep learning' (6.3%)
Population genetics,"['snp', 'susceptibility', 'variant', 'gene expression', 'dna', 'candidate', 'american', 'environmental', 'inference', 'wide', 'variation', 'selection', 'age', 'cardiovascular', 'characterization']",130,'machine learning' (30.8%),'apriori' (4.6%),'random forest' (3.1%)
Prostate cancer,"['prostate', 'biopsy', 'tumor', 'mri', 'marker', 'progression', 'clinically', 'radiation', 'vivo', 'planning', 'breast', 'modality', 'screening', 'negative', 'active']",127,'machine learning' (29.1%),'deep learning' (12.6%),'artificial intelligence' (6.3%)
Regulatory genetics,"['regulatory', 'regulation', 'gene expression', 'element', 'cellular', 'dna', 'cell type', 'variant', 'binding', 'variation', 'normal', 'datasets', 'organization', 'assay', 'sequencing']",280,'machine learning' (25.7%),'deep learning' (5.4%),'principal component analysis' (2.5%)
RNA analysis,"['rna', 'sequencing', 'element', 'long', 'regulatory', 'regulation', 'cellular', 'binding', 'mapping', 'generation', 'dna', 'molecule', 'recognition', 'comparison', 'example']",116,'machine learning' (38.8%),'hidden markov model' (4.3%),'hierarchical clustering' (2.6%)
Schizophrenia,"['schizophrenia', 'deficit', 'illness', 'abnormality', 'symptom', 'fmri', 'temporal', 'psychiatric', 'paradigm', 'mental', 'dysfunction', 'neuroimaging', 'candidate', 'cortex', 'connectivity']",113,'semantic network' (13.3%),'machine learning' (8.8%),'artificial intelligence' (6.2%)
Sleep,"['sleep', 'eeg', 'cortical', 'cardiovascular', 'profile', 'recording', 'marker', 'event', 'memory', 'device', 'physiological', 'mouse', 'movement', 'regulation', 'parameter']",101,'machine learning' (18.8%),'expert system' (13.9%),'artificial intelligence' (12.9%)
Small molecule interactions,"['molecule', 'small', 'chemical', 'genetics', 'binding', 'immune', 'receptor', 'device', 'cellular', 'property', 'resolution', 'screening', 'candidate', 'produce', 'systematic']",81,'machine learning' (45.7%),'deep learning' (8.6%),'artificial intelligence' (7.4%)
Social networks and behaviors,"['social', 'access', 'young', 'influence', 'substance', 'mobile', 'content', 'status', 'prevention', 'animal', 'emerging', 'national', 'mining', 'hospital', 'skill']",212,'machine learning' (41.0%),'natural language processing' (16.5%),'artificial intelligence' (4.7%)
Speech,"['speech', 'motor', 'communication', 'impairment', 'representation', 'recognition', 'movement', 'child', 'device', 'normal', 'spectrum', 'error', 'progress', 'shape', 'person']",210,'machine learning' (27.6%),'artificial intelligence' (9.0%),'hidden markov model' (5.7%)
Stroke,"['stroke', 'recovery', 'acute', 'blood', 'disability', 'motor', 'impairment', 'effectiveness', 'movement', 'deficit', 'mri', 'agent', 'lesion', 'flow', 'difference']",176,'machine learning' (31.8%),'deep learning' (8.5%),'artificial intelligence' (5.1%)
Student education/training,"['student', 'school', 'course', 'neuroscience', 'skill', 'scientist', 'laboratory', 'career', 'engineering', 'national', 'institute', 'grant', 'content', 'basic', 'artificial']",149,'machine learning' (22.8%),'artificial intelligence' (16.8%),'expert system' (8.7%)
Suicidality,"['suicide', 'death', 'risk factor', 'prevention', 'youth', 'adolescent', 'predictor', 'ehr', 'psychiatric', 'mental', 'health care', 'prior', 'setting', 'healthcare', 'social']",79,'machine learning' (60.8%),'natural language processing' (25.3%),'artificial intelligence' (2.5%)
Surgical planning,"['surgical', 'surgery', 'procedure', 'skill', 'planning', 'accurately', 'shape', 'monitoring', 'ct', 'effectiveness', 'significantly', 'candidate', 'tumor', 'safety', 'vivo']",137,'machine learning' (36.5%),'artificial intelligence' (5.8%),'deep learning' (5.8%)
Text mining,"['text', 'literature', 'mining', 'natural language', 'language processing', 'access', 'search', 'report', 'content', 'annotation', 'ontology', 'extract', 'domain', 'concept', 'scientist']",220,'natural language processing' (40.0%),'text mining' (37.7%),'machine learning' (22.7%)
Trauma,"['injury', 'recovery', 'acute', 'neurological', 'motor', 'translational', 'death', 'disability', 'loss', 'blood', 'mri', 'syndrome', 'people', 'correlate', 'physiological']",159,'machine learning' (49.1%),'decision tree' (6.3%),'artificial intelligence' (3.8%)
Unspecified classification tasks,"['classification', 'neural network', 'criterion', 'family', 'implement', 'variable', 'domain', 'procedure', 'data set', 'predicting', 'datasets', 'selection', 'statistical method', 'annotation', 'traditional']",131,'machine learning' (54.2%),'support vector machine' (16.8%),'artificial neural network' (9.2%)
Unspecified early disease detection and primary screening,"['screening', 'woman', 'early detection', 'mortality', 'ct', 'lesion', 'positive', 'electronic', 'interpretation', 'united state', 'united', 'detect', 'candidate', 'implementation', 'guideline']",151,'machine learning' (23.2%),'artificial intelligence' (8.6%),'natural language processing' (7.9%)
Visual impairment,"['vision', 'visual', 'loss', 'low', 'device', 'people', 'property', 'early detection', 'motion', 'normal', 'sensor', 'engineering', 'person', 'laboratory', 'student']",78,'machine learning' (25.6%),'deep learning' (6.4%),'gaussian mixture' (5.1%)
Visual processing,"['visual', 'stimulus', 'cortex', 'shape', 'vision', 'cortical', 'object', 'property', 'space', 'attention', 'input', 'neuron', 'circuit', 'representation', 'stimulation']",168,'machine learning' (23.2%),'supervised learning' (10.7%),'principal component analysis' (10.1%)
Wearable devices and mobile technology,"['smoking', 'physical activity', 'physical', 'physician', 'month', 'participant', 'mobile', 'real', 'end', 'sensor', 'american', 'low', 'report', 'effectiveness', 'randomized']",193,'machine learning' (30.1%),'expert system' (20.7%),'artificial neural network' (5.7%)